query_id,recommended_indexes,llm_reasoning_text,execution_time_ms_after,improvement_vs_baseline
s11,"CREATE INDEX idx_comments_score_userid ON comments(Score, UserId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_users_creationdate ON users(CreationDate);; CREATE INDEX idx_users_upvotes ON users(UpVotes);","Score=0 filter, user date range, and joins on UserId/OwnerUserId are all served by these indexes.",43.309,12.6%
s12,CREATE INDEX idx_users_reputation ON users(Reputation);; CREATE INDEX idx_users_creationdate ON users(CreationDate);; CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_posthistory_userid ON postHistory(UserId);,User reputation and date range filters plus UserId joins to comments and postHistory benefit from these indexes.,152.086,-10.0%
s13,CREATE INDEX idx_users_reputation ON users(Reputation);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_votes_userid ON votes(UserId);,"Reputation range, comment CreationDate filter, and dual UserId joins all benefit from these indexes.",45.99,23.9%
s14,CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_users_upvotes ON users(UpVotes);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,"Comment date range, user UpVotes and CreationDate filters, and UserId joins are served by these indexes.",13.521,39.9%
s15,"CREATE INDEX idx_comments_score_userid ON comments(Score, UserId);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_users_upvotes ON users(UpVotes);","Score=0 with date ranges on comments and badges, plus UserId joins, are all accelerated by these indexes.",366.379,48.9%
s16,CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_comments_score ON comments(Score);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_users_creationdate ON users(CreationDate);; CREATE INDEX idx_users_upvotes ON users(UpVotes);; CREATE INDEX idx_users_downvotes ON users(DownVotes);,"Indexes on join keys (UserId) and filter columns (Score, Date, UpVotes, DownVotes, CreationDate) speed up the three-way join and range filters.",34.05,49.4%
s17,CREATE INDEX idx_tags_excerptpostid ON tags(ExcerptPostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_votes_userid ON votes(UserId);,"Indexes on ExcerptPostId, OwnerUserId, CreationDate, and votes.UserId support the joins and date filter efficiently.",13.107,49.6%
s18,CREATE INDEX idx_postlinks_postid ON postLinks(PostId);; CREATE INDEX idx_posthistory_postid ON postHistory(PostId);; CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_posthistory_creationdate ON postHistory(CreationDate);,Indexes on PostId join keys and CreationDate filter columns accelerate the three-way join with date range conditions.,29.306,52.4%
s19,CREATE INDEX idx_postlinks_postid ON postLinks(PostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_commentcount ON posts(CommentCount);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,"Indexes on PostId, OwnerUserId, CommentCount, and users.CreationDate support joins and filter predicates in this query.",31.459,7.7%
s20,CREATE INDEX idx_posthistory_postid ON postHistory(PostId);; CREATE INDEX idx_posthistory_creationdate ON postHistory(CreationDate);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_users_reputation ON users(Reputation);,"Indexes on join keys and range-filtered columns (CreationDate, Reputation, Views) reduce scan costs across three tables.",92.367,26.5%
s21,CREATE INDEX idx_votes_postid ON votes(PostId);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_votes_creationdate ON votes(CreationDate);; CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_users_creationdate ON users(CreationDate);; CREATE INDEX idx_users_upvotes ON users(UpVotes);,Indexes on all join keys and date/score/UpVotes filter columns eliminate large sequential scans across three tables.,83.313,-4.4%
s22,CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_commentcount ON posts(CommentCount);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,Indexes on OwnerUserId join key and CommentCount/CreationDate filter columns make the three-way join efficient.,147.061,50.5%
s23,CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_downvotes ON users(DownVotes);,"Indexes on UserId join keys and DownVotes filter enable efficient lookup and join across votes, badges, and users.",87.284,2.2%
s24,CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_votes_bountyamount ON votes(BountyAmount);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_downvotes ON users(DownVotes);,Indexes on UserId join keys and BountyAmount/DownVotes filter columns support efficient three-way join with range filters.,26.956,-32.5%
s25,CREATE INDEX idx_comments_postid ON comments(PostId);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_postlinks_postid ON postLinks(PostId);; CREATE INDEX idx_votes_postid ON votes(PostId);; CREATE INDEX idx_votes_votetypeid ON votes(VoteTypeId);; CREATE INDEX idx_votes_creationdate ON votes(CreationDate);; CREATE INDEX idx_posts_score ON posts(Score);,"Indexes on PostId join keys and filter columns (VoteTypeId, CreationDate, Score) speed up the four-way join.",70.071,27.3%
s26,CREATE INDEX idx_comments_postid ON comments(PostId);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_postlinks_relatedpostid ON postLinks(RelatedPostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_users_creationdate ON users(CreationDate);; CREATE INDEX idx_users_upvotes ON users(UpVotes);,"Indexes on join keys (PostId, RelatedPostId, OwnerUserId) and filter columns reduce the four-table join cost.",28.749,55.9%
s27,CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_comments_score ON comments(Score);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_votes_bountyamount ON votes(BountyAmount);; CREATE INDEX idx_votes_creationdate ON votes(CreationDate);; CREATE INDEX idx_users_upvotes ON users(UpVotes);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,Indexes on all join keys and filter columns support the four-way join with multiple range predicates efficiently.,28.978,31.5%
s28,CREATE INDEX idx_votes_postid ON votes(PostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_reputation ON users(Reputation);,"Indexes on join keys (PostId, OwnerUserId, UserId) and filter columns (Score, Reputation) accelerate the four-way join.",838.975,10.6%
s29,CREATE INDEX idx_votes_postid ON votes(PostId);; CREATE INDEX idx_votes_creationdate ON votes(CreationDate);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_posttypeid ON posts(PostTypeId);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_posts_favoritecount ON posts(FavoriteCount);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_users_downvotes ON users(DownVotes);; CREATE INDEX idx_users_upvotes ON users(UpVotes);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,Multiple filter predicates on all four tables benefit from indexes on every filtered and joined column.,87.773,12.2%
s30,CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_posts_commentcount ON posts(CommentCount);; CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_badges_userid ON badges(UserId);,"Indexes on join keys (UserId, OwnerUserId) and filter columns (Score, CommentCount, CreationDate) reduce four-table join cost.",31420.24,-41.2%
s31,"CREATE INDEX idx_votes_userid_creationdate ON votes(UserId, CreationDate);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_posts_owneruserid_score ON posts(OwnerUserId, Score);; CREATE INDEX idx_users_creationdate ON users(CreationDate);",Joins on UserId/OwnerUserId with date and score range filters benefit from composite indexes on each joined table.,1350.741,-65.1%
s32,"CREATE INDEX idx_votes_userid_creationdate ON votes(UserId, CreationDate);; CREATE INDEX idx_posthistory_userid_creationdate ON postHistory(UserId, CreationDate);; CREATE INDEX idx_comments_userid_score_creationdate ON comments(UserId, Score, CreationDate);; CREATE INDEX idx_users_views_downvotes_upvotes ON users(Views, DownVotes, UpVotes)","All four tables join on UserId with date and attribute range filters, requiring composite indexes for efficient lookups.",5449.959,-298.9%
s33,"CREATE INDEX idx_votes_userid_creationdate ON votes(UserId, CreationDate);; CREATE INDEX idx_votes_bountyamount_creationdate ON votes(BountyAmount, CreationDate);; CREATE INDEX idx_posthistory_userid_creationdate ON postHistory(UserId, CreationDate);; CREATE INDEX idx_comments_userid_score_creationdate ON comments(UserId, Score, CreationDate);; CREATE INDEX idx_users_creationdate ON users(CreationDate);","UserId-based joins with BountyAmount, CreationDate, and user attribute filters need composite indexes to avoid full scans.",91.233,-102.6%
s34,"CREATE INDEX idx_comments_userid_score_creationdate ON comments(UserId, Score, CreationDate);; CREATE INDEX idx_votes_userid_creationdate ON votes(UserId, CreationDate);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_creationdate ON users(CreationDate);",Filtering comments by Score=1 and CreationDate while joining on UserId is accelerated by a composite index on comments.,36308.705,6.0%
s35,"CREATE INDEX idx_comments_userid_score_creationdate ON comments(UserId, Score, CreationDate);; CREATE INDEX idx_votes_userid_creationdate ON votes(UserId, CreationDate);; CREATE INDEX idx_votes_bountyamount_creationdate ON votes(BountyAmount, CreationDate);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_creationdate ON users(CreationDate);",Score=0 filter on comments and BountyAmount/CreationDate on votes require composite indexes for efficient join filtering.,299.341,-8.4%
s36,"CREATE INDEX idx_comments_userid_score_creationdate ON comments(UserId, Score, CreationDate);; CREATE INDEX idx_votes_bountyamount_creationdate ON votes(BountyAmount, CreationDate);; CREATE INDEX idx_votes_userid_creationdate ON votes(UserId, CreationDate);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_views_downvotes_upvotes ON users(Views, DownVotes, UpVotes)","Filtering on comments.Score=0, votes.BountyAmount range, and users.UpVotes range benefits from covering composite indexes.",34.755,34.8%
s37,"CREATE INDEX idx_comments_postid_creationdate ON comments(PostId, CreationDate);; CREATE INDEX idx_posthistory_postid_creationdate ON postHistory(PostId, CreationDate);; CREATE INDEX idx_postlinks_postid ON postLinks(PostId);; CREATE INDEX idx_votes_postid_creationdate ON votes(PostId, CreationDate);",Four-way join on PostId with postHistory CreationDate range filter needs PostId indexes on all involved tables.,135.661,39.6%
s38,"CREATE INDEX idx_comments_userid_score_creationdate ON comments(UserId, Score, CreationDate);; CREATE INDEX idx_posthistory_typeid_creationdate ON postHistory(PostHistoryTypeId, CreationDate);; CREATE INDEX idx_posthistory_userid_creationdate ON postHistory(UserId, CreationDate);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_creationdate ON users(CreationDate);",PostHistoryTypeId=1 with date range and UserId joins need composite indexes on postHistory and other joined tables.,5148.123,7.3%
s39,"CREATE INDEX idx_comments_userid_score_creationdate ON comments(UserId, Score, CreationDate);; CREATE INDEX idx_posthistory_typeid_creationdate ON postHistory(PostHistoryTypeId, CreationDate);; CREATE INDEX idx_posthistory_userid_creationdate ON postHistory(UserId, CreationDate);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_creationdate ON users(CreationDate);","Filtering postHistory by TypeId=5 and date, comments by Score=0, and users by Reputation/CreationDate needs composite indexes.",731.027,-104.3%
s40,"CREATE INDEX idx_postlinks_relatedpostid_linktypeid ON postLinks(RelatedPostId, LinkTypeId);; CREATE INDEX idx_posts_id_owneruserid ON posts(Id, OwnerUserId);; CREATE INDEX idx_posts_owneruserid_score ON posts(OwnerUserId, Score);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_creationdate ON users(CreationDate);",LinkTypeId=1 filter on postLinks joining to posts via RelatedPostId benefits from a composite index on postLinks.,43.445,3.9%
s41,"CREATE INDEX idx_postlinks_relatedpostid_linktypeid ON postLinks(RelatedPostId, LinkTypeId);; CREATE INDEX idx_posts_id_owneruserid ON posts(Id, OwnerUserId);; CREATE INDEX idx_posts_owneruserid_score ON posts(OwnerUserId, Score);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_creationdate ON users(CreationDate);","Multiple range filters on posts, postLinks, badges, and users with join on RelatedPostId/OwnerUserId require composite indexes.",4.174,73.5%
s42,"CREATE INDEX idx_posts_id_owneruserid ON posts(Id, OwnerUserId);; CREATE INDEX idx_posts_owneruserid_score ON posts(OwnerUserId, Score);; CREATE INDEX idx_posthistory_postid_creationdate ON postHistory(PostId, CreationDate);; CREATE INDEX idx_votes_postid_creationdate ON votes(PostId, CreationDate);",Filtering posts by PostTypeId=1 and Score/CommentCount while joining postHistory and votes on PostId needs PostId indexes.,136.989,17.1%
s43,"CREATE INDEX idx_posts_owneruserid_score ON posts(OwnerUserId, Score);; CREATE INDEX idx_posthistory_typeid_creationdate ON postHistory(PostHistoryTypeId, CreationDate);; CREATE INDEX idx_posthistory_userid_creationdate ON postHistory(UserId, CreationDate);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_views_downvotes_upvotes ON users(Views, DownVotes, UpVotes)",PostHistoryTypeId=3 filter with Score and UpVotes range joins benefit from composite indexes on each relevant table.,416.545,39.5%
s44,"CREATE INDEX idx_posthistory_userid_creationdate ON postHistory(UserId, CreationDate);; CREATE INDEX idx_posts_owneruserid_score ON posts(OwnerUserId, Score);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_views_downvotes_upvotes ON users(Views, DownVotes, UpVotes); CREATE INDEX idx_users_creationdate ON users(CreationDate);","Wide range filters on postHistory, posts, users, and badges with UserId joins need composite indexes per table.",210.089,-25.3%
s45,"CREATE INDEX idx_posthistory_typeid_creationdate ON postHistory(PostHistoryTypeId, CreationDate);; CREATE INDEX idx_posthistory_userid_creationdate ON postHistory(UserId, CreationDate);; CREATE INDEX idx_votes_userid_creationdate ON votes(UserId, CreationDate);; CREATE INDEX idx_badges_userid_date ON badges(UserId, Date);; CREATE INDEX idx_users_creationdate ON users(CreationDate);",PostHistoryTypeId=2 filter with users.Views=5 and date ranges on badges requires composite indexes for efficient filtering.,11.691,74.8%
s46,CREATE INDEX idx_comments_postid ON comments(PostId);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_posts_favoritecount ON posts(FavoriteCount);; CREATE INDEX idx_postlinks_postid ON postLinks(PostId);; CREATE INDEX idx_postlinks_linktypeid ON postLinks(LinkTypeId);; CREATE INDEX idx_postlinks_creationdate ON postLinks(CreationDate);; CREATE INDEX idx_posthistory_postid ON postHistory(PostId);; CREATE INDEX idx_posthistory_creationdate ON postHistory(CreationDate);; CREATE INDEX idx_votes_postid ON votes(PostId);; CREATE INDEX idx_votes_creationdate ON votes(CreationDate);,Indexes on join keys (PostId) and filter columns accelerate multi-table join and range predicates.,167.197,-63.2%
s47,CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_posts_favoritecount ON posts(FavoriteCount);; CREATE INDEX idx_posthistory_userid ON postHistory(UserId);; CREATE INDEX idx_posthistory_posthistorytypeid ON postHistory(PostHistoryTypeId);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_votes_bountyamount ON votes(BountyAmount);; CREATE INDEX idx_users_downvotes ON users(DownVotes);,UserId join chain indexes and filter-column indexes eliminate large row scans across all joined tables.,3901.16,3.5%
s48,CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_posthistory_userid ON postHistory(UserId);; CREATE INDEX idx_posthistory_posthistorytypeid ON postHistory(PostHistoryTypeId);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_upvotes ON users(UpVotes);,UserId join indexes and UpVotes/PostHistoryTypeId filter indexes reduce rows in the user-centric join chain.,33.756,54.7%
s49,CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_comments_score ON comments(Score);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_posts_creationdate ON posts(CreationDate);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_votes_bountyamount ON votes(BountyAmount);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_users_downvotes ON users(DownVotes);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,"Indexes on join keys and multiple range filters across users, posts, votes, and badges speed up all predicates.",1300.778,8.4%
s50,CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_comments_score ON comments(Score);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_reputation ON users(Reputation);; CREATE INDEX idx_users_views ON users(Views);,Score and Reputation/Views filter indexes reduce intermediate join sizes across the user-centric query.,298.801,-32.0%
s51,CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_posthistory_userid ON postHistory(UserId);; CREATE INDEX idx_posthistory_posthistorytypeid ON postHistory(PostHistoryTypeId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_users_views ON users(Views);,UserId join indexes and CreationDate/PostHistoryTypeId filter indexes speed up this user-centric five-table join.,6835.346,31.3%
s52,CREATE INDEX idx_comments_userid ON comments(UserId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_posttypeid ON posts(PostTypeId);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_posthistory_userid ON postHistory(UserId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_users_views ON users(Views);; CREATE INDEX idx_users_downvotes ON users(DownVotes);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,PostTypeId and user filter indexes combined with UserId joins reduce the search space significantly.,11035.13,30.3%
s53,CREATE INDEX idx_comments_postid ON comments(PostId);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_postlinks_relatedpostid ON postLinks(RelatedPostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_reputation ON users(Reputation);,RelatedPostId and OwnerUserId join indexes with Reputation filter reduce scan cost on this five-table join.,527.746,-135.8%
s54,CREATE INDEX idx_comments_postid ON comments(PostId);; CREATE INDEX idx_comments_creationdate ON comments(CreationDate);; CREATE INDEX idx_postlinks_relatedpostid ON postLinks(RelatedPostId);; CREATE INDEX idx_postlinks_linktypeid ON postLinks(LinkTypeId);; CREATE INDEX idx_postlinks_creationdate ON postLinks(CreationDate);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_score ON posts(Score);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,LinkTypeId and Score equality indexes enable efficient filtering before joining large comment and badge tables.,21.855,35.2%
s55,CREATE INDEX idx_tags_excerptpostid ON tags(ExcerptPostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posthistory_userid ON postHistory(UserId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_users_downvotes ON users(DownVotes);,ExcerptPostId and UserId join indexes with DownVotes/Date filters narrow down the multi-table join quickly.,15.798,72.4%
s56,CREATE INDEX idx_tags_excerptpostid ON tags(ExcerptPostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_downvotes ON users(DownVotes);,ExcerptPostId and UserId join indexes efficiently resolve the tag-to-post-to-user join chain with DownVotes filter.,2779.405,-258.2%
s57,CREATE INDEX idx_tags_excerptpostid ON tags(ExcerptPostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_votes_bountyamount ON votes(BountyAmount);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_users_views ON users(Views);; CREATE INDEX idx_users_upvotes ON users(UpVotes);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,Multiple user filter indexes and UserId join indexes reduce intermediate result sizes across all five tables.,514.506,-1548.6%
s58,CREATE INDEX idx_postlinks_relatedpostid ON postLinks(RelatedPostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posthistory_userid ON postHistory(UserId);; CREATE INDEX idx_posthistory_posthistorytypeid ON postHistory(PostHistoryTypeId);; CREATE INDEX idx_posthistory_creationdate ON postHistory(CreationDate);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_votes_creationdate ON votes(CreationDate);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_badges_date ON badges(Date);; CREATE INDEX idx_users_views ON users(Views);; CREATE INDEX idx_users_downvotes ON users(DownVotes);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,PostHistoryTypeId equality and UserId join indexes on all six tables significantly reduce this complex join cost.,722395.995,26.7%
s59,CREATE INDEX idx_postlinks_relatedpostid ON postLinks(RelatedPostId);; CREATE INDEX idx_postlinks_linktypeid ON postLinks(LinkTypeId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_posts_favoritecount ON posts(FavoriteCount);; CREATE INDEX idx_posthistory_userid ON postHistory(UserId);; CREATE INDEX idx_posthistory_posthistorytypeid ON postHistory(PostHistoryTypeId);; CREATE INDEX idx_votes_userid ON votes(UserId);; CREATE INDEX idx_votes_creationdate ON votes(CreationDate);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_reputation ON users(Reputation);; CREATE INDEX idx_users_downvotes ON users(DownVotes);; CREATE INDEX idx_users_upvotes ON users(UpVotes);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,"LinkTypeId, PostHistoryTypeId equality indexes and UserId joins reduce cardinality in this six-table complex join.",9327.061,-34.3%
s60,CREATE INDEX idx_comments_postid ON comments(PostId);; CREATE INDEX idx_postlinks_relatedpostid ON postLinks(RelatedPostId);; CREATE INDEX idx_votes_postid ON votes(PostId);; CREATE INDEX idx_posts_owneruserid ON posts(OwnerUserId);; CREATE INDEX idx_badges_userid ON badges(UserId);; CREATE INDEX idx_users_views ON users(Views);; CREATE INDEX idx_users_creationdate ON users(CreationDate);,PostId and UserId join indexes combined with Views and CreationDate filters reduce the six-table join cost.,807.909,-0.5%
