query_id,recommended_indexes,llm_reasoning_text,execution_time_ms_after,improvement_vs_baseline
Q11,CREATE INDEX idx_store_sales_customer_sk ON store_sales(ss_customer_sk);; CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_web_sales_bill_customer_sk ON web_sales(ws_bill_customer_sk);; CREATE INDEX idx_web_sales_date_sk ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);,Indexes on customer and date keys speed up the year_total CTE joins for store and web channels.,120000,-61224389.8%
Q12,CREATE INDEX idx_web_sales_item_sk ON web_sales(ws_item_sk);; CREATE INDEX idx_web_sales_date_sk ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_item_category ON item(i_category);; CREATE INDEX idx_date_dim_date ON date_dim(d_date);,Indexes on item category and date range allow fast filtering for web revenue aggregation by class.,53.049,-46029.6%
Q13,"CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_store_sk ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_cdemo_sk ON store_sales(ss_cdemo_sk);; CREATE INDEX idx_store_sales_hdemo_sk ON store_sales(ss_hdemo_sk);; CREATE INDEX idx_store_sales_addr_sk ON store_sales(ss_addr_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_customer_demographics_gender_marital_edu ON customer_demographics(cd_gender, cd_marital_status, cd_education_status);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state);; CREATE INDEX idx_household_demographics_dep_count ON household_demographics(hd_dep_count);","Indexes on demographics, address state, and dep_count support the complex OR-based multi-condition filtering.",666.22,-740144.4%
Q14,"CREATE INDEX idx_store_sales_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_catalog_sales_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_item_sk ON catalog_sales(cs_item_sk);; CREATE INDEX idx_web_sales_date_sk ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_web_sales_item_sk ON web_sales(ws_item_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);; CREATE INDEX idx_item_brand_class_category ON item(i_brand_id, i_class_id, i_category_id);",Indexes on item and date keys accelerate cross_items CTE set intersections and final year comparisons.,18309.416,-122864.5%
Q15,"CREATE INDEX idx_catalog_sales_bill_customer_sk ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_catalog_sales_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_customer_current_addr_sk ON customer(c_current_addr_sk);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state);; CREATE INDEX idx_customer_address_zip ON customer_address(ca_zip);; CREATE INDEX idx_date_dim_qoy_year ON date_dim(d_qoy, d_year);",Indexes on customer address state/zip and date quarter/year filter catalog sales efficiently.,116.072,-297520.5%
Q16,CREATE INDEX idx_catalog_sales_ship_date_sk ON catalog_sales(cs_ship_date_sk);; CREATE INDEX idx_catalog_sales_ship_addr_sk ON catalog_sales(cs_ship_addr_sk);; CREATE INDEX idx_catalog_sales_call_center_sk ON catalog_sales(cs_call_center_sk);; CREATE INDEX idx_catalog_sales_order_number ON catalog_sales(cs_order_number);; CREATE INDEX idx_catalog_returns_order_number ON catalog_returns(cr_order_number);; CREATE INDEX idx_date_dim_date ON date_dim(d_date);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state);,"Indexes on ship_date_sk, ship_addr_sk, call_center_sk, and order_number accelerate joins and the EXISTS/NOT EXISTS subquery lookups.",24.638,-23590.4%
Q17,"CREATE INDEX idx_store_sales_sold_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_customer_sk ON store_sales(ss_customer_sk);; CREATE INDEX idx_store_sales_ticket_item ON store_sales(ss_ticket_number, ss_item_sk, ss_customer_sk);; CREATE INDEX idx_store_returns_ticket_item ON store_returns(sr_ticket_number, sr_item_sk, sr_customer_sk);; CREATE INDEX idx_store_returns_returned_date_sk ON store_returns(sr_returned_date_sk);; CREATE INDEX idx_date_dim_quarter_name ON date_dim(d_quarter_name);; CREATE INDEX idx_catalog_sales_item_sk ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_bill_customer_sk ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_catalog_sales_sold_date_sk ON catalog_sales(cs_sold_date_sk);",Multi-table join on ticket/item/customer keys and quarter_name filter benefit from indexes on all join and filter columns.,1539.149,-171106.8%
Q18,"CREATE INDEX idx_catalog_sales_sold_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_item_sk ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_bill_customer_sk ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_customer_demographics_gender_marital_edu ON customer_demographics(cd_gender, cd_marital_status, cd_education_status);; CREATE INDEX idx_customer_current_addr_sk ON customer(c_current_addr_sk);; CREATE INDEX idx_customer_birth_month ON customer(c_birth_month);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state);","Indexes on join keys and filter columns (year, demographics, birth_month, state) speed up the multi-table join and ROLLUP aggregation.",722.809,-162329.0%
Q19,"CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);; CREATE INDEX idx_store_sales_sold_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_customer_sk ON store_sales(ss_customer_sk);; CREATE INDEX idx_store_sales_store_sk ON store_sales(ss_store_sk);; CREATE INDEX idx_item_manager_id ON item(i_manager_id);; CREATE INDEX idx_customer_current_addr_sk ON customer(c_current_addr_sk);","Indexes on year/month date filter, item manager_id, and customer/address join keys eliminate large scans.",335.198,-86738.9%
Q20,CREATE INDEX idx_catalog_sales_sold_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_item_sk ON catalog_sales(cs_item_sk);; CREATE INDEX idx_date_dim_date ON date_dim(d_date);; CREATE INDEX idx_item_category ON item(i_category);,Indexes on date range filter and item category enable efficient filtering and joining for the revenue window query.,58.711,-8020.5%
Q21,CREATE INDEX idx_inventory_item_sk ON inventory(inv_item_sk);; CREATE INDEX idx_inventory_date_sk ON inventory(inv_date_sk);; CREATE INDEX idx_inventory_warehouse_sk ON inventory(inv_warehouse_sk);; CREATE INDEX idx_item_current_price ON item(i_current_price);; CREATE INDEX idx_date_dim_date ON date_dim(d_date);,Indexes on inventory join keys and item price range filter accelerate the date-range inventory pivot query.,276.604,-51409.1%
Q22,CREATE INDEX idx_inventory_item_sk ON inventory(inv_item_sk);; CREATE INDEX idx_inventory_date_sk ON inventory(inv_date_sk);; CREATE INDEX idx_date_dim_month_seq ON date_dim(d_month_seq);,Index on month_seq enables fast date_dim lookup; inventory indexes support efficient join for the ROLLUP aggregation.,17526.267,-43815567.5%
Q23,"CREATE INDEX idx_store_sales_sold_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_customer_sk ON store_sales(ss_customer_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);; CREATE INDEX idx_catalog_sales_sold_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_item_sk ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_bill_customer_sk ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_web_sales_sold_date_sk ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_web_sales_item_sk ON web_sales(ws_item_sk);; CREATE INDEX idx_web_sales_bill_customer_sk ON web_sales(ws_bill_customer_sk);","CTEs repeatedly filter store_sales, catalog_sales, and web_sales by date and item; indexes on those join/filter columns are critical.",7436.789,-5855639.4%
Q24,"CREATE INDEX idx_store_sales_ticket_item ON store_sales(ss_ticket_number, ss_item_sk, ss_customer_sk);; CREATE INDEX idx_store_returns_ticket_item ON store_returns(sr_ticket_number, sr_item_sk, sr_customer_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_store_sk ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_customer_sk ON store_sales(ss_customer_sk);; CREATE INDEX idx_store_market_id_zip ON store(s_market_id, s_zip);; CREATE INDEX idx_customer_current_addr_sk ON customer(c_current_addr_sk);","The self-join CTE and filters on market_id, zip, and ticket/item join keys need indexes for efficient lookups.",94.811,-124651.3%
Q25,"CREATE INDEX idx_store_sales_sold_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_store_sk ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_ticket_item ON store_sales(ss_ticket_number, ss_item_sk, ss_customer_sk);; CREATE INDEX idx_store_returns_ticket_item ON store_returns(sr_ticket_number, sr_item_sk, sr_customer_sk);; CREATE INDEX idx_store_returns_returned_date_sk ON store_returns(sr_returned_date_sk);; CREATE INDEX idx_catalog_sales_item_sk ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_bill_customer_sk ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_catalog_sales_sold_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);","Three-way join across store_sales, store_returns, catalog_sales with year/month filters requires indexes on all join and date columns.",941.751,-667808.5%
Q26,"CREATE INDEX idx_catalog_sales_sold_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_item_sk ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_bill_customer_sk ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_customer_demographics_gender_marital_edu ON customer_demographics(cd_gender, cd_marital_status, cd_education_status);; CREATE INDEX idx_promotion_promo_sk ON promotion(p_promo_sk, p_channel_email, p_channel_event);","Indexes on demographics filter columns and promotion join key reduce scans when filtering by gender, marital status, education, and year.",763.11,-1496194.1%
Q27,"CREATE INDEX idx_store_sales_sold_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_store_sk ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_cdemo_sk ON store_sales(ss_cdemo_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_customer_demographics_gender_marital_edu ON customer_demographics(cd_gender, cd_marital_status, cd_education_status);; CREATE INDEX idx_store_store_sk ON store(s_store_sk, s_state, s_zip);","Indexes on demographics filter, store state filter, and date year filter speed up the ROLLUP grouping query over store_sales.",25.006,-40893.4%
Q28,"CREATE INDEX idx_store_sales_quantity_price ON store_sales(ss_quantity, ss_list_price, ss_coupon_amt, ss_wholesale_cost);","A composite index on quantity, list_price, coupon_amt, and wholesale_cost supports all six subquery range filters without table scans.",1664.692,-2447976.5%
Q29,"CREATE INDEX idx_store_sales_sold_date_sk ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item_sk ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_store_sk ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_ticket_item ON store_sales(ss_ticket_number, ss_item_sk, ss_customer_sk);; CREATE INDEX idx_store_returns_ticket_item ON store_returns(sr_ticket_number, sr_item_sk, sr_customer_sk);; CREATE INDEX idx_store_returns_returned_date_sk ON store_returns(sr_returned_date_sk);; CREATE INDEX idx_catalog_sales_item_sk ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_bill_customer_sk ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_catalog_sales_sold_date_sk ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);",Same three-way join pattern as Q25 with year/month date filters; same indexes on join keys and date columns are needed.,251.359,-234815.0%
Q30,CREATE INDEX idx_web_returns_returned_date_sk ON web_returns(wr_returned_date_sk);; CREATE INDEX idx_web_returns_returning_addr_sk ON web_returns(wr_returning_addr_sk);; CREATE INDEX idx_web_returns_returning_customer_sk ON web_returns(wr_returning_customer_sk);; CREATE INDEX idx_date_dim_year ON date_dim(d_year);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state);; CREATE INDEX idx_customer_current_addr_sk ON customer(c_current_addr_sk);,Indexes on web_returns joining and filtering columns and customer_address state filter accelerate the CTE and correlated subquery.,11958.323,-22562773.6%
Q31,"CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_addr ON store_sales(ss_addr_sk);; CREATE INDEX idx_web_sales_sold_date ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_web_sales_bill_addr ON web_sales(ws_bill_addr_sk);; CREATE INDEX idx_date_dim_year_qoy ON date_dim(d_year, d_qoy);",Indexes support joins on date and address keys and filter on year/quarter groupings.,9870.439,-12987319.7%
Q32,CREATE INDEX idx_catalog_sales_item ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_item_manufact_id ON item(i_manufact_id);; CREATE INDEX idx_date_dim_date ON date_dim(d_date);,"Indexes accelerate item manufacturer filter, date range scan, and correlated subquery joins.",68.031,-194274.3%
Q33,"CREATE INDEX idx_item_manufact_id ON item(i_manufact_id);; CREATE INDEX idx_item_category ON item(i_category);; CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_addr ON store_sales(ss_addr_sk);; CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_web_sales_sold_date ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_customer_address_gmt ON customer_address(ca_gmt_offset);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);","Indexes support manufacturer/category subquery, date year/month filter, and address GMT offset join.",0.925,-781.0%
Q34,"CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_hdemo ON store_sales(ss_hdemo_sk);; CREATE INDEX idx_store_sales_customer ON store_sales(ss_customer_sk);; CREATE INDEX idx_household_demographics_buy_pot ON household_demographics(hd_buy_potential, hd_vehicle_count, hd_dep_count);; CREATE INDEX idx_store_county ON store(s_county);",Indexes speed up store/household/date joins and county filter for ticket count aggregation.,30.166,-62745.8%
Q35,"CREATE INDEX idx_customer_addr ON customer(c_current_addr_sk);; CREATE INDEX idx_customer_cdemo ON customer(c_current_cdemo_sk);; CREATE INDEX idx_store_sales_customer ON store_sales(ss_customer_sk);; CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_web_sales_bill_customer ON web_sales(ws_bill_customer_sk);; CREATE INDEX idx_web_sales_sold_date ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_catalog_sales_ship_customer ON catalog_sales(cs_ship_customer_sk);; CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_date_dim_year_qoy ON date_dim(d_year, d_qoy);",Indexes support EXISTS subqueries on customer sales across all channels filtered by year/quarter.,2592.097,-2979321.8%
Q36,"CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_store_state ON store(s_state);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);","Indexes accelerate date year filter, store state filter, and item/store join for rollup aggregation.",0.606,-765.7%
Q37,"CREATE INDEX idx_item_price ON item(i_current_price);; CREATE INDEX idx_item_manufact_id ON item(i_manufact_id);; CREATE INDEX idx_inventory_item ON inventory(inv_item_sk);; CREATE INDEX idx_inventory_date_item_wh ON inventory(inv_date_sk, inv_item_sk, inv_warehouse_sk);; CREATE INDEX idx_catalog_sales_item ON catalog_sales(cs_item_sk);; CREATE INDEX idx_date_dim_date ON date_dim(d_date);",Indexes support price/manufacturer filters on item and date range scan on inventory join.,1.103,-3346.9%
Q38,CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_customer ON store_sales(ss_customer_sk);; CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_bill_customer ON catalog_sales(cs_bill_customer_sk);; CREATE INDEX idx_web_sales_sold_date ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_web_sales_bill_customer ON web_sales(ws_bill_customer_sk);; CREATE INDEX idx_date_dim_month_seq ON date_dim(d_month_seq);,Indexes speed up customer joins and month sequence range filter across all three sales channels.,2283.147,-3308808.7%
Q39,"CREATE INDEX idx_inventory_date_item_wh ON inventory(inv_date_sk, inv_item_sk, inv_warehouse_sk);; CREATE INDEX idx_inventory_item ON inventory(inv_item_sk);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);",Indexes support inventory joins on date/item/warehouse and year filter for stddev/avg computation.,4840.159,-4745153.9%
Q40,"CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_item ON catalog_sales(cs_item_sk);; CREATE INDEX idx_catalog_sales_warehouse ON catalog_sales(cs_warehouse_sk);; CREATE INDEX idx_catalog_returns_order_item ON catalog_returns(cr_order_number, cr_item_sk);; CREATE INDEX idx_item_price ON item(i_current_price);; CREATE INDEX idx_date_dim_date ON date_dim(d_date);","Indexes accelerate catalog sales/returns join, item price range filter, and date range scan.",82.728,-212023.1%
Q41,CREATE INDEX idx_item_manufact_id ON item(i_manufact_id);; CREATE INDEX idx_item_manufact ON item(i_manufact);; CREATE INDEX idx_item_category ON item(i_category);,Indexes support manufacturer range filter and correlated subquery on manufact/category/color/size.,342.878,-1269818.5%
Q42,"CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item ON store_sales(ss_item_sk);; CREATE INDEX idx_item_manager ON item(i_manager_id);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);","Indexes support item manager filter, date year/month filter, and sales-item-date join.",257.192,-642880.0%
Q43,"CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_store_gmt ON store(s_gmt_offset);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);","Indexes accelerate store GMT offset filter, date year filter, and store-sales join.",0.684,-539.3%
Q44,"CREATE INDEX idx_store_sales_store_item_profit ON store_sales(ss_store_sk, ss_item_sk, ss_net_profit);","Composite index covers store filter, item grouping, and net profit aggregation for ranking queries.",2.256,-3318.2%
Q45,"CREATE INDEX idx_web_sales_sold_date ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_web_sales_bill_customer ON web_sales(ws_bill_customer_sk);; CREATE INDEX idx_web_sales_item ON web_sales(ws_item_sk);; CREATE INDEX idx_customer_addr ON customer(c_current_addr_sk);; CREATE INDEX idx_date_dim_year_qoy ON date_dim(d_year, d_qoy);",Indexes support customer/address/item joins and date quarter/year filter for web sales aggregation.,158.815,-305313.5%
Q46,"CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_hdemo ON store_sales(ss_hdemo_sk);; CREATE INDEX idx_store_sales_addr ON store_sales(ss_addr_sk);; CREATE INDEX idx_store_sales_customer ON store_sales(ss_customer_sk);; CREATE INDEX idx_date_dim_dow_year ON date_dim(d_dow, d_year);; CREATE INDEX idx_store_city ON store(s_city);; CREATE INDEX idx_household_demo_dep_vehicle ON household_demographics(hd_dep_count, hd_vehicle_count);",Indexes on store_sales FKs and date/store/hdemo filters accelerate joins and group-by aggregation.,29.267,-62170.2%
Q47,"CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_item ON store_sales(ss_item_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);",Indexes on store_sales join keys and date_dim year/moy reduce scan cost for monthly brand aggregation.,2563.551,-3610535.2%
Q48,"CREATE INDEX idx_store_sales_sold_date ON store_sales(ss_sold_date_sk);; CREATE INDEX idx_store_sales_store ON store_sales(ss_store_sk);; CREATE INDEX idx_store_sales_cdemo ON store_sales(ss_cdemo_sk);; CREATE INDEX idx_store_sales_addr ON store_sales(ss_addr_sk);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);; CREATE INDEX idx_customer_address_state ON customer_address(ca_state);",Indexes on store_sales FK columns and customer_address state filter reduce join and predicate evaluation cost.,810.509,-953440.0%
Q49,"CREATE INDEX idx_web_sales_sold_date ON web_sales(ws_sold_date_sk);; CREATE INDEX idx_web_sales_order ON web_sales(ws_order_number);; CREATE INDEX idx_web_returns_order_item ON web_returns(wr_order_number, wr_item_sk);; CREATE INDEX idx_catalog_sales_sold_date ON catalog_sales(cs_sold_date_sk);; CREATE INDEX idx_catalog_sales_order ON catalog_sales(cs_order_number);; CREATE INDEX idx_catalog_returns_order_item ON catalog_returns(cr_order_number, cr_item_sk);; CREATE INDEX idx_store_returns_ticket_item ON store_returns(sr_ticket_number, sr_item_sk);; CREATE INDEX idx_date_dim_year_moy ON date_dim(d_year, d_moy);",Indexes on order-number join keys for returns and date filters speed left-join return-ratio calculations.,268.004,-165334.6%
